,time_unix,lon,lat,date time
164,1769915038,-15818.8064,2131.4822,2026-02-01 03:03:58
165,1769915749,-15818.8202,2131.5868,2026-02-01 03:15:49
166,1769915781,-15818.8206,2131.5941,2026-02-01 03:16:21
167,1769915817,-15818.8228,2131.5976,2026-02-01 03:16:57
168,1769915853,-15818.8267,2131.6092,2026-02-01 03:17:33
169,1769930090,-15821.7263,2132.4711,2026-02-01 07:14:50
170,1769930677,-15821.7504,2132.5889,2026-02-01 07:24:37
171,1769930714,-15821.7505,2132.5963,2026-02-01 07:25:14
172,1769930746,-15821.7546,2132.6024,2026-02-01 07:25:46
173,1769945176,-15823.1111,2131.391,2026-02-01 11:26:16
174,1769945213,-15823.1126,2131.3884,2026-02-01 11:26:53
175,1769945755,-15823.1294,2131.3493,2026-02-01 11:35:55
176,1769945792,-15823.1313,2131.3459,2026-02-01 11:36:32
177,1769945828,-15823.1323,2131.3448,2026-02-01 11:37:08
178,1769959969,-15824.4242,2129.1486,2026-02-01 15:32:49
179,1769960002,-15824.4319,2129.1478,2026-02-01 15:33:22
180,1769976485,-15823.2913,2131.0382,2026-02-01 20:08:05
181,1769976522,-15823.2935,2131.0442,2026-02-01 20:08:42
182,1769976558,-15823.2972,2131.0516,2026-02-01 20:09:18
183,1769982294,-15824.3238,2130.7669,2026-02-01 21:44:54
184,1769982326,-15824.3233,2130.7699,2026-02-01 21:45:26
185,1769982902,-15824.3222,2130.8345,2026-02-01 21:55:02
186,1769982938,-15824.3226,2130.8386,2026-02-01 21:55:38
187,1769982974,-15824.3196,2130.8401,2026-02-01 21:56:14
188,1769988372,-15824.7622,2130.0037,2026-02-01 23:26:12
189,1769988408,-15824.7617,2130.0015,2026-02-01 23:26:48
190,1769988922,-15824.7569,2129.9783,2026-02-01 23:35:22
191,1769988958,-15824.7549,2129.9778,2026-02-01 23:35:58
192,1769988994,-15824.7499,2129.9811,2026-02-01 23:36:34
193,1769989026,-15824.7343,2129.9828,2026-02-01 23:37:06
194,1769995141,-15824.8066,2129.4346,2026-02-02 01:19:01
195,1769995603,-15824.7945,2129.4219,2026-02-02 01:26:43
196,1769995640,-15824.7946,2129.4216,2026-02-02 01:27:20
197,1769995672,-15824.7938,2129.4187,2026-02-02 01:27:52
198,1769995708,-15824.794,2129.4181,2026-02-02 01:28:28
199,1770002995,-15824.2245,2128.9514,2026-02-02 03:29:55
200,1770003028,-15824.226,2128.954,2026-02-02 03:30:28
201,1770003685,-15824.2709,2129.0265,2026-02-02 03:41:25
202,1770003721,-15824.2731,2129.0299,2026-02-02 03:42:01
203,1770003757,-15824.2762,2129.0302,2026-02-02 03:42:37
204,1770012887,-15824.8216,2130.6262,2026-02-02 06:14:47
205,1770012924,-15824.8254,2130.6382,2026-02-02 06:15:24
206,1770013717,-15824.904,2130.9354,2026-02-02 06:28:37
207,1770013753,-15824.9107,2130.9431,2026-02-02 06:29:13
208,1770013789,-15824.9138,2130.957,2026-02-02 06:29:49
209,1770028931,-15825.4903,2130.3309,2026-02-02 10:42:11
210,1770028968,-15825.4873,2130.3308,2026-02-02 10:42:48
211,1770047003,-15824.4512,2128.7055,2026-02-02 15:43:23
212,1770047039,-15824.4514,2128.6979,2026-02-02 15:43:59
213,1770058817,-15824.899,2130.3535,2026-02-02 19:00:17
214,1770058853,-15824.9039,2130.3603,2026-02-02 19:00:53
215,1770073047,-15824.525,2129.5011,2026-02-02 22:57:27
216,1770073083,-15824.5252,2129.5006,2026-02-02 22:58:03
217,1770086083,-15823.688,2127.6268,2026-02-03 02:34:43
